species_id,scientific_name,common_name,genus,species,kingdom,phylum,class,order,family,max_longevity_years,adult_weight_g,metabolic_rate_w,body_mass_g,temperature_k,female_maturity_days,male_maturity_days,gestation_days,imr_per_year,mrdt_years,url
homarus_americanus,Homarus americanus,American lobster,Homarus,americanus,Animalia,Arthropoda,Malacostraca,Decapoda,Nephropidae,100.0,,,,,,,,,,https://en.wikipedia.org/wiki/American_lobster
homo_sapiens,Homo sapiens,Human,Homo,sapiens,Animalia,Chordata,Mammalia,Primates,Hominidae,122.5,62035.0,82.78,70000.0,310.15,4745,5110,280,0.0002,8.0,https://en.wikipedia.org/wiki/Human
leptonychotes_weddellii,Leptonychotes weddellii,Weddell seal,Leptonychotes,weddellii,Animalia,Chordata,Mammalia,Carnivora,Phocidae,,425000.0,,,,1365,1642,304,,,https://en.wikipedia.org/wiki/Weddell_seal
loxodonta_africana,Loxodonta africana,African elephant,Loxodonta,africana,Animalia,Chordata,Mammalia,Proboscidea,Elephantidae,65.0,4800000.0,,,309.35,4018,3650,670,0.002,8.0,https://en.wikipedia.org/wiki/African_bush_elephant
mus_musculus,Mus musculus,Mouse,Mus,musculus,Animalia,Chordata,Mammalia,Rodentia,Muridae,4.0,20.5,0.271,18.0,310.05,42,42,19,0.01,0.3,https://en.wikipedia.org/wiki/House_mouse
photinus_pyralis,Photinus pyralis,Firefly,Photinus,pyralis,Animalia,Arthropoda,Insecta,Coleoptera,Lampyridae,,,,,,,,,,,https://en.wikipedia.org/wiki/Photinus_pyralis
pseudopleuronectes_americanus,Pseudopleuronectes americanus,Winter flounder,Pseudopleuronectes,americanus,Animalia,Chordata,Teleostei,Pleuronectiformes,Pleuronectidae,14.0,1980.0,,,,1022,1034,,,,https://en.wikipedia.org/wiki/Winter_flounder
pteropus_alecto,Pteropus alecto,Black flying fox,Pteropus,alecto,Animalia,Chordata,Mammalia,Chiroptera,Pteropodidae,20.3,672.1,,,,,,,,,https://en.wikipedia.org/wiki/Black_flying_fox
ramazzottius_varieornatus,Ramazzottius varieornatus,Tardigrade,Ramazzottius,varieornatus,Animalia,Tardigrada,Eutardigrada,Parachela,Ramazzottiidae,0.096,,,,,,,,,,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=947166
schmidtea_mediterranea,Schmidtea mediterranea,Planarian,Schmidtea,mediterranea,Animalia,Platyhelminthes,Trepaxonemata,Neoophora,Dugesiidae,,,,,,,,,,999.0,https://en.wikipedia.org/wiki/Schmidtea_mediterranea
sepia_officinalis,Sepia officinalis,Common cuttlefish,Sepia,officinalis,Animalia,Mollusca,Cephalopoda,Sepiida,Sepiidae,,,,,,,,,,,https://en.wikipedia.org/wiki/Common_cuttlefish
somniosus_microcephalus,Somniosus microcephalus,Greenland shark,Somniosus,microcephalus,Animalia,Chordata,Chondrichthyes,Squaliformes,Somniosidae,392.0,,,,,56940,,,,,https://en.wikipedia.org/wiki/Greenland_shark
turritopsis_dohrnii,Turritopsis dohrnii,Immortal jellyfish,Turritopsis,dohrnii,Animalia,Cnidaria,Hydrozoa,Anthoathecatae,Oceanidae,,,,,,,,,,,https://en.wikipedia.org/wiki/Turritopsis_dohrnii
tursiops_truncatus,Tursiops truncatus,Bottlenose dolphin,Tursiops,truncatus,Animalia,Chordata,Mammalia,Cetacea,Delphinidae,51.6,200000.0,,,,2831,3689,365,,,https://en.wikipedia.org/wiki/Common_bottlenose_dolphin
bos_taurus,Bos taurus,Cattle (Belgian Blue),Bos,taurus,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,20.0,900000.0,,,,548,548,285,,,https://en.wikipedia.org/wiki/Cattle
canis_familiaris,Canis familiaris,Dog (Whippet),Canis,familiaris,Animalia,Chordata,Mammalia,Carnivora,Canidae,24.0,13600.0,,,,365,365,63,,,https://en.wikipedia.org/wiki/Dog
polypedilum_vanderplanki,Polypedilum vanderplanki,Sleeping chironomid,Polypedilum,vanderplanki,Animalia,Arthropoda,Insecta,Diptera,Chironomidae,0.5,0.002,,,,,,,,,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=319348
acomys_cahirinus,Acomys cahirinus,Cairo spiny mouse,Acomys,cahirinus,Animalia,Chordata,Mammalia,Rodentia,Muridae,5.5,45.0,,,,60,60,38,,,https://en.wikipedia.org/wiki/Cairo_spiny_mouse
melopsittacus_undulatus,Melopsittacus undulatus,Budgerigar,Melopsittacus,undulatus,Animalia,Chordata,Aves,Psittaciformes,Psittaculidae,21.0,30.0,,,,,,,,,https://en.wikipedia.org/wiki/Budgerigar
leucoraja_erinacea,Leucoraja erinacea,Little Skate,Leucoraja,erinacea,Animalia,Chordata,Chondrichthyes,Rajiformes,Rajidae,20.0,700.0,,,,,,,,,https://en.wikipedia.org/wiki/Little_skate
trichonephila_clavipes,Trichonephila clavipes,Golden Silk Orbweaver,Trichonephila,clavipes,Animalia,Arthropoda,Arachnida,Araneae,Araneidae,,,,,,,,,,,https://en.wikipedia.org/wiki/Trichonephila_clavipes
leiurus_quinquestriatus,Leiurus quinquestriatus,Deathstalker Scorpion,Leiurus,quinquestriatus,Animalia,Arthropoda,Arachnida,Scorpiones,Buthidae,8.0,,,,,,,,,,https://en.wikipedia.org/wiki/Leiurus_quinquestriatus
drosophila_melanogaster,Drosophila melanogaster,Fruit Fly,Drosophila,melanogaster,Animalia,Arthropoda,Insecta,Diptera,Drosophilidae,0.25,0.001,,,,,,,,,https://en.wikipedia.org/wiki/Drosophila_melanogaster
pinctada_fucata,Pinctada fucata,Akoya Pearl Oyster,Pinctada,fucata,Animalia,Mollusca,Bivalvia,Ostreida,Pteriidae,,,,,,,,,,,https://en.wikipedia.org/wiki/Pinctada_fucata
potorous_tridactylus,Potorous tridactylus,Long-nosed Potoroo,Potorous,tridactylus,Animalia,Chordata,Mammalia,Diprotodontia,Potoroidae,12.0,1100.0,,,,,,,,,https://en.wikipedia.org/wiki/Long-nosed_potoroo
herpestes_ichneumon,Herpestes ichneumon,Egyptian Mongoose,Herpestes,ichneumon,Animalia,Chordata,Mammalia,Carnivora,Herpestidae,20.0,3500.0,,,,,,,,,https://en.wikipedia.org/wiki/Egyptian_mongoose
urocitellus_parryii,Urocitellus parryii,Arctic Ground Squirrel,Urocitellus,parryii,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,10.0,750.0,,,,,,,,,https://en.wikipedia.org/wiki/Arctic_ground_squirrel
